A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D1381,Ranitidine,D0958,Lumacaftor,Affected cellular transport
D1690,Verapamil,D0953,Lorlatinib,Affected cellular transport
D1400,Rifampicin,D0726,Glecaprevir,Affected cellular transport
D0491,Digoxin,D0458,Dexlansoprazole,Affected cellular transport
D0491,Digoxin,D0603,Esomeprazole,Affected cellular transport
D1222,Pantoprazole,D0491,Digoxin,Affected cellular transport
D0491,Digoxin,D1373,Rabeprazole,Affected cellular transport
D0491,Digoxin,D0892,Lansoprazole,Affected cellular transport
D1179,Omeprazole,D0491,Digoxin,Affected cellular transport
D0251,Capmatinib,D0438,Delafloxacin,Affected cellular transport
D0348,Cladribine,D0251,Capmatinib,Affected cellular transport
D0561,Eltrombopag,D0251,Capmatinib,Affected cellular transport
D1517,Sulfasalazine,D0251,Capmatinib,Affected cellular transport
D0438,Delafloxacin,D0720,Gilteritinib,Affected cellular transport
D0561,Eltrombopag,D0720,Gilteritinib,Affected cellular transport
D1517,Sulfasalazine,D0720,Gilteritinib,Affected cellular transport
D0348,Cladribine,D0725,Glasdegib,Affected cellular transport
D0438,Delafloxacin,D0725,Glasdegib,Affected cellular transport
D0561,Eltrombopag,D0725,Glasdegib,Affected cellular transport
D1517,Sulfasalazine,D0725,Glasdegib,Affected cellular transport
D1556,Teriflunomide,D0725,Glasdegib,Affected cellular transport
D0439,Delavirdine,D0171,Berotralstat,Affected cellular transport
D0561,Eltrombopag,D0171,Berotralstat,Affected cellular transport
D0569,Encorafenib,D0171,Berotralstat,Affected cellular transport
D1190,Osimertinib,D0171,Berotralstat,Affected cellular transport
D1387,Regorafenib,D0171,Berotralstat,Affected cellular transport
D1437,Safinamide,D0171,Berotralstat,Affected cellular transport
D1539,Tedizolid,D0171,Berotralstat,Affected cellular transport
D1556,Teriflunomide,D0171,Berotralstat,Affected cellular transport
D1556,Teriflunomide,D0898,Ledipasvir,Affected cellular transport
D0026,Afatinib,D1539,Tedizolid,Affected cellular transport
D0109,Artesunate,D1539,Tedizolid,Affected cellular transport
D0181,Bictegravir,D1539,Tedizolid,Affected cellular transport
D0348,Cladribine,D1539,Tedizolid,Affected cellular transport
D0438,Delafloxacin,D1539,Tedizolid,Affected cellular transport
D0561,Eltrombopag,D1539,Tedizolid,Affected cellular transport
D0565,Empagliflozin,D1539,Tedizolid,Affected cellular transport
D0793,Imatinib,D1539,Tedizolid,Affected cellular transport
D0894,Lapatinib,D1539,Tedizolid,Affected cellular transport
D0958,Lumacaftor,D1539,Tedizolid,Affected cellular transport
D0961,Lurasidone,D1539,Tedizolid,Affected cellular transport
D1025,Methotrexate,D1539,Tedizolid,Affected cellular transport
D1140,Niraparib,D1539,Tedizolid,Affected cellular transport
D1177,Ombitasvir,D1539,Tedizolid,Affected cellular transport
D1190,Osimertinib,D1539,Tedizolid,Affected cellular transport
D1232,Pazopanib,D1539,Tedizolid,Affected cellular transport
D1408,Riociguat,D1539,Tedizolid,Affected cellular transport
D1417,Rivaroxaban,D1539,Tedizolid,Affected cellular transport
D1430,Rosuvastatin,D1539,Tedizolid,Affected cellular transport
D1432,Rucaparib,D1539,Tedizolid,Affected cellular transport
D1457,Selexipag,D1539,Tedizolid,Affected cellular transport
D1517,Sulfasalazine,D1539,Tedizolid,Affected cellular transport
D1610,Topotecan,D1539,Tedizolid,Affected cellular transport
D1687,Vemurafenib,D1539,Tedizolid,Affected cellular transport
D1688,Venetoclax,D1539,Tedizolid,Affected cellular transport
D0348,Cladribine,D0561,Eltrombopag,Affected cellular transport
D1393,Reserpine,D0348,Cladribine,Affected cellular transport
D0109,Artesunate,D0251,Capmatinib,Affected cellular transport
D0109,Artesunate,D0251,Capmatinib,Affected cellular transport
D0227,Cabazitaxel,D0251,Capmatinib,Affected cellular transport
D0227,Cabazitaxel,D0251,Capmatinib,Affected cellular transport
D0251,Capmatinib,D0906,Letermovir,Affected cellular transport
D0251,Capmatinib,D0906,Letermovir,Affected cellular transport
D0251,Capmatinib,D1432,Rucaparib,Affected cellular transport
D0251,Capmatinib,D1432,Rucaparib,Affected cellular transport
D0402,Cyclosporine,D0251,Capmatinib,Affected cellular transport
D0402,Cyclosporine,D0251,Capmatinib,Affected cellular transport
D0511,Docetaxel,D0251,Capmatinib,Affected cellular transport
D0511,Docetaxel,D0251,Capmatinib,Affected cellular transport
D0528,Doxorubicin,D0251,Capmatinib,Affected cellular transport
D0528,Doxorubicin,D0251,Capmatinib,Affected cellular transport
D0529,Doxorubicin (liposomal),D0251,Capmatinib,Affected cellular transport
D0529,Doxorubicin (liposomal),D0251,Capmatinib,Affected cellular transport
D0565,Empagliflozin,D0251,Capmatinib,Affected cellular transport
D0565,Empagliflozin,D0251,Capmatinib,Affected cellular transport
D0584,Epirubicin,D0251,Capmatinib,Affected cellular transport
D0584,Epirubicin,D0251,Capmatinib,Affected cellular transport
D0595,Erlotinib,D0251,Capmatinib,Affected cellular transport
D0595,Erlotinib,D0251,Capmatinib,Affected cellular transport
D0597,Erythromycin,D0251,Capmatinib,Affected cellular transport
D0597,Erythromycin,D0251,Capmatinib,Affected cellular transport
D0627,Etoposide,D0251,Capmatinib,Affected cellular transport
D0627,Etoposide,D0251,Capmatinib,Affected cellular transport
D0793,Imatinib,D0251,Capmatinib,Affected cellular transport
D0793,Imatinib,D0251,Capmatinib,Affected cellular transport
D0845,Irinotecan,D0251,Capmatinib,Affected cellular transport
D0845,Irinotecan,D0251,Capmatinib,Affected cellular transport
D0894,Lapatinib,D0251,Capmatinib,Affected cellular transport
D0894,Lapatinib,D0251,Capmatinib,Affected cellular transport
D1025,Methotrexate,D0251,Capmatinib,Affected cellular transport
D1025,Methotrexate,D0251,Capmatinib,Affected cellular transport
D1212,Paclitaxel,D0251,Capmatinib,Affected cellular transport
D1212,Paclitaxel,D0251,Capmatinib,Affected cellular transport
D1232,Pazopanib,D0251,Capmatinib,Affected cellular transport
D1232,Pazopanib,D0251,Capmatinib,Affected cellular transport
D1417,Rivaroxaban,D0251,Capmatinib,Affected cellular transport
D1417,Rivaroxaban,D0251,Capmatinib,Affected cellular transport
D1430,Rosuvastatin,D0251,Capmatinib,Affected cellular transport
D1430,Rosuvastatin,D0251,Capmatinib,Affected cellular transport
D1610,Topotecan,D0251,Capmatinib,Affected cellular transport
D1610,Topotecan,D0251,Capmatinib,Affected cellular transport
D1697,Vinblastine,D0251,Capmatinib,Affected cellular transport
D1697,Vinblastine,D0251,Capmatinib,Affected cellular transport
D1698,Vincristine,D0251,Capmatinib,Affected cellular transport
