A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0472,Diatrizoate,D1015,Metformin,Affected excretion pathways
D1015,Metformin,D0831,Iodipamide,Affected excretion pathways
D1015,Metformin,D0832,Iodixanol,Affected excretion pathways
D1015,Metformin,D0833,Iohexol,Affected excretion pathways
D1015,Metformin,D0834,Iopamidol,Affected excretion pathways
D1015,Metformin,D0837,Iothalamic acid,Affected excretion pathways
D1015,Metformin,D0838,Ioversol,Affected excretion pathways
D1015,Metformin,D0839,Ioxilan,Affected excretion pathways
D1015,Metformin,D0836,Iopromide,Affected excretion pathways
D0022,Acyclovir,D1389,Remdesivir,Affected excretion pathways
D0056,Amikacin,D1389,Remdesivir,Affected excretion pathways
D0057,Amikacin (liposome),D1389,Remdesivir,Affected excretion pathways
D0075,Amphotericin B,D1389,Remdesivir,Affected excretion pathways
D0077,Amphotericin B (lipid complex),D1389,Remdesivir,Affected excretion pathways
D0078,Amphotericin B (liposomal),D1389,Remdesivir,Affected excretion pathways
D0142,Bacitracin,D1389,Remdesivir,Affected excretion pathways
D0145,Balsalazide,D1389,Remdesivir,Affected excretion pathways
D0252,Capreomycin,D1389,Remdesivir,Affected excretion pathways
D0260,Carboplatin,D1389,Remdesivir,Affected excretion pathways
D0335,Cidofovir,D1389,Remdesivir,Affected excretion pathways
D0344,Cisplatin,D1389,Remdesivir,Affected excretion pathways
D0383,Colistimethate,D1389,Remdesivir,Affected excretion pathways
D0400,Cyclophosphamide,D1389,Remdesivir,Affected excretion pathways
D0434,Deferoxamine,D1389,Remdesivir,Affected excretion pathways
D0472,Diatrizoate,D1389,Remdesivir,Affected excretion pathways
D0549,Edetate calcium disodium anhydrous,D1389,Remdesivir,Affected excretion pathways
D0550,Edetate disodium anhydrous,D1389,Remdesivir,Affected excretion pathways
D0623,Etidronic acid,D1389,Remdesivir,Affected excretion pathways
D0629,Everolimus,D1389,Remdesivir,Affected excretion pathways
D0694,Foscarnet,D1389,Remdesivir,Affected excretion pathways
D0709,Gallium nitrate,D1389,Remdesivir,Affected excretion pathways
D0710,Ganciclovir,D1389,Remdesivir,Affected excretion pathways
D0718,Gentamicin,D1389,Remdesivir,Affected excretion pathways
D0783,Ibandronate,D1389,Remdesivir,Affected excretion pathways
D0790,Ifosfamide,D1389,Remdesivir,Affected excretion pathways
D0829,Iobenguane (I-131),D1389,Remdesivir,Affected excretion pathways
D0831,Iodipamide,D1389,Remdesivir,Affected excretion pathways
D0832,Iodixanol,D1389,Remdesivir,Affected excretion pathways
D0833,Iohexol,D1389,Remdesivir,Affected excretion pathways
D0836,Iopromide,D1389,Remdesivir,Affected excretion pathways
D0837,Iothalamic acid,D1389,Remdesivir,Affected excretion pathways
D0838,Ioversol,D1389,Remdesivir,Affected excretion pathways
D0839,Ioxilan,D1389,Remdesivir,Affected excretion pathways
D0876,Kanamycin,D1389,Remdesivir,Affected excretion pathways
D0940,Lithium carbonate,D1389,Remdesivir,Affected excretion pathways
D1009,Mesalazine,D1389,Remdesivir,Affected excretion pathways
D1030,Methoxyflurane,D1389,Remdesivir,Affected excretion pathways
D1091,Moxetumomab Pasudotox,D1389,Remdesivir,Affected excretion pathways
D1120,Neomycin,D1389,Remdesivir,Affected excretion pathways
D1126,Netilmicin,D1389,Remdesivir,Affected excretion pathways
D1173,Olsalazine,D1389,Remdesivir,Affected excretion pathways
D1217,Pamidronic acid,D1389,Remdesivir,Affected excretion pathways
D1245,Penicillamine,D1389,Remdesivir,Affected excretion pathways
D1304,Plazomicin,D1389,Remdesivir,Affected excretion pathways
D1310,Polymyxin B,D1389,Remdesivir,Affected excretion pathways
D1442,Salsalate,D1389,Remdesivir,Affected excretion pathways
D1476,Sirolimus,D1389,Remdesivir,Affected excretion pathways
D1507,Streptomycin,D1389,Remdesivir,Affected excretion pathways
D1508,Streptozocin,D1389,Remdesivir,Affected excretion pathways
D1526,Tacrolimus,D1389,Remdesivir,Affected excretion pathways
D1542,Telavancin,D1389,Remdesivir,Affected excretion pathways
D1549,Temsirolimus,D1389,Remdesivir,Affected excretion pathways
D1597,Tobramycin,D1389,Remdesivir,Affected excretion pathways
D1672,Valaciclovir,D1389,Remdesivir,Affected excretion pathways
D1676,Valganciclovir,D1389,Remdesivir,Affected excretion pathways
D1680,Vancomycin,D1389,Remdesivir,Affected excretion pathways
D1727,Zoledronic acid,D1389,Remdesivir,Affected excretion pathways
D1241,Pemetrexed,D0075,Amphotericin B,Affected excretion pathways
D1241,Pemetrexed,D0076,Amphotericin B (cholesteryl sulfate),Affected excretion pathways
D1241,Pemetrexed,D0077,Amphotericin B (lipid complex),Affected excretion pathways
D1241,Pemetrexed,D0078,Amphotericin B (liposomal),Affected excretion pathways
D1241,Pemetrexed,D0145,Balsalazide,Affected excretion pathways
D1241,Pemetrexed,D0383,Colistimethate,Affected excretion pathways
D1241,Pemetrexed,D0432,Deferasirox,Affected excretion pathways
D1241,Pemetrexed,D0623,Etidronic acid,Affected excretion pathways
D1241,Pemetrexed,D0709,Gallium nitrate,Affected excretion pathways
D1241,Pemetrexed,D0718,Gentamicin,Affected excretion pathways
D1241,Pemetrexed,D0724,Givosiran,Affected excretion pathways
D1241,Pemetrexed,D0805,Inotersen,Affected excretion pathways
D1241,Pemetrexed,D0829,Iobenguane (I-131),Affected excretion pathways
D1241,Pemetrexed,D0876,Kanamycin,Affected excretion pathways
D1241,Pemetrexed,D0940,Lithium carbonate,Affected excretion pathways
D1241,Pemetrexed,D1030,Methoxyflurane,Affected excretion pathways
D1241,Pemetrexed,D1091,Moxetumomab Pasudotox,Affected excretion pathways
D1241,Pemetrexed,D1120,Neomycin,Affected excretion pathways
D1241,Pemetrexed,D1126,Netilmicin,Affected excretion pathways
D1241,Pemetrexed,D1173,Olsalazine,Affected excretion pathways
D1241,Pemetrexed,D1246,Pentamidine,Affected excretion pathways
D1241,Pemetrexed,D1304,Plazomicin,Affected excretion pathways
D1241,Pemetrexed,D1310,Polymyxin B,Affected excretion pathways
D1241,Pemetrexed,D1476,Sirolimus,Affected excretion pathways
D1241,Pemetrexed,D1507,Streptomycin,Affected excretion pathways
D1241,Pemetrexed,D1517,Sulfasalazine,Affected excretion pathways
D1241,Pemetrexed,D1526,Tacrolimus,Affected excretion pathways
D1241,Pemetrexed,D1542,Telavancin,Affected excretion pathways
D1241,Pemetrexed,D1549,Temsirolimus,Affected excretion pathways
D1241,Pemetrexed,D1597,Tobramycin,Affected excretion pathways
D0056,Amikacin,D1241,Pemetrexed,Affected excretion pathways
D0057,Amikacin (liposome),D1241,Pemetrexed,Affected excretion pathways
D0142,Bacitracin,D1241,Pemetrexed,Affected excretion pathways
D0252,Capreomycin,D1241,Pemetrexed,Affected excretion pathways
D0335,Cidofovir,D1241,Pemetrexed,Affected excretion pathways
D0402,Cyclosporine,D1241,Pemetrexed,Affected excretion pathways
D0694,Foscarnet,D1241,Pemetrexed,Affected excretion pathways
D1009,Mesalazine,D1241,Pemetrexed,Affected excretion pathways
D1025,Methotrexate,D1241,Pemetrexed,Affected excretion pathways
D1217,Pamidronic acid,D1241,Pemetrexed,Affected excretion pathways
D0344,Cisplatin,D1241,Pemetrexed,Affected excretion pathways
D1680,Vancomycin,D1241,Pemetrexed,Affected excretion pathways
D1193,Oxaliplatin,D0076,Amphotericin B (cholesteryl sulfate),Affected excretion pathways
D1193,Oxaliplatin,D0077,Amphotericin B (lipid complex),Affected excretion pathways
D1193,Oxaliplatin,D0078,Amphotericin B (liposomal),Affected excretion pathways
D1193,Oxaliplatin,D0142,Bacitracin,Affected excretion pathways
D1193,Oxaliplatin,D0145,Balsalazide,Affected excretion pathways
D1193,Oxaliplatin,D0210,Bromfenac,Affected excretion pathways
D1193,Oxaliplatin,D0383,Colistimethate,Affected excretion pathways
D1193,Oxaliplatin,D0432,Deferasirox,Affected excretion pathways
D1193,Oxaliplatin,D0489,Diflunisal,Affected excretion pathways
D1193,Oxaliplatin,D0623,Etidronic acid,Affected excretion pathways
D1193,Oxaliplatin,D0645,Fenoprofen,Affected excretion pathways
D1193,Oxaliplatin,D0680,Flurbiprofen,Affected excretion pathways
D1193,Oxaliplatin,D0694,Foscarnet,Affected excretion pathways
D1193,Oxaliplatin,D0709,Gallium nitrate,Affected excretion pathways
D1193,Oxaliplatin,D0718,Gentamicin,Affected excretion pathways
D1193,Oxaliplatin,D0724,Givosiran,Affected excretion pathways
D1193,Oxaliplatin,D0805,Inotersen,Affected excretion pathways
D1193,Oxaliplatin,D0829,Iobenguane (I-131),Affected excretion pathways
D1193,Oxaliplatin,D0876,Kanamycin,Affected excretion pathways
D1193,Oxaliplatin,D0940,Lithium carbonate,Affected excretion pathways
D1193,Oxaliplatin,D0964,Lutetium Lu 177 dotatate,Affected excretion pathways
D1193,Oxaliplatin,D0988,Meclofenamic acid,Affected excretion pathways
D1193,Oxaliplatin,D0991,Mefenamic acid,Affected excretion pathways
D1193,Oxaliplatin,D1030,Methoxyflurane,Affected excretion pathways
D1193,Oxaliplatin,D1091,Moxetumomab Pasudotox,Affected excretion pathways
D1193,Oxaliplatin,D1120,Neomycin,Affected excretion pathways
D1193,Oxaliplatin,D1126,Netilmicin,Affected excretion pathways
D1193,Oxaliplatin,D1173,Olsalazine,Affected excretion pathways
D1193,Oxaliplatin,D1196,Oxaprozin,Affected excretion pathways
D1193,Oxaliplatin,D1246,Pentamidine,Affected excretion pathways
D1193,Oxaliplatin,D1274,Phenylbutazone,Affected excretion pathways
D1193,Oxaliplatin,D1300,Piroxicam,Affected excretion pathways
D1193,Oxaliplatin,D1310,Polymyxin B,Affected excretion pathways
D1193,Oxaliplatin,D1442,Salsalate,Affected excretion pathways
D1193,Oxaliplatin,D1476,Sirolimus,Affected excretion pathways
D1193,Oxaliplatin,D1507,Streptomycin,Affected excretion pathways
D1193,Oxaliplatin,D1520,Sulindac,Affected excretion pathways
D1193,Oxaliplatin,D1542,Telavancin,Affected excretion pathways
D1193,Oxaliplatin,D1549,Temsirolimus,Affected excretion pathways
D1193,Oxaliplatin,D1597,Tobramycin,Affected excretion pathways
D0056,Amikacin,D1193,Oxaliplatin,Affected excretion pathways
D0057,Amikacin (liposome),D1193,Oxaliplatin,Affected excretion pathways
D0252,Capreomycin,D1193,Oxaliplatin,Affected excretion pathways
D0335,Cidofovir,D1193,Oxaliplatin,Affected excretion pathways
D1097,Nabumetone,D1193,Oxaliplatin,Affected excretion pathways
D1217,Pamidronic acid,D1193,Oxaliplatin,Affected excretion pathways
D1606,Tolmetin,D1193,Oxaliplatin,Affected excretion pathways
D0298,Celecoxib,D1193,Oxaliplatin,Affected excretion pathways
D1193,Oxaliplatin,D0995,Meloxicam,Affected excretion pathways
D1193,Oxaliplatin,D1421,Rofecoxib,Affected excretion pathways
D1193,Oxaliplatin,D0783,Ibandronate,Affected excretion pathways
D1727,Zoledronic acid,D1193,Oxaliplatin,Affected excretion pathways
D1193,Oxaliplatin,D0786,Ibuprofen,Affected excretion pathways
D1193,Oxaliplatin,D0476,Diclofenac,Affected excretion pathways
D0882,Ketorolac,D1193,Oxaliplatin,Affected excretion pathways
D1009,Mesalazine,D1193,Oxaliplatin,Affected excretion pathways
D1193,Oxaliplatin,D1109,Naproxen,Affected excretion pathways
D1193,Oxaliplatin,D0881,Ketoprofen,Affected excretion pathways
D1193,Oxaliplatin,D1674,Valdecoxib,Affected excretion pathways
D0800,Indomethacin,D1193,Oxaliplatin,Affected excretion pathways
D1193,Oxaliplatin,D1526,Tacrolimus,Affected excretion pathways
D0402,Cyclosporine,D1193,Oxaliplatin,Affected excretion pathways
D1193,Oxaliplatin,D1517,Sulfasalazine,Affected excretion pathways
D1193,Oxaliplatin,D1025,Methotrexate,Affected excretion pathways
D1193,Oxaliplatin,D0624,Etodolac,Affected excretion pathways
D0252,Capreomycin,D0576,Entecavir,Affected excretion pathways
D0335,Cidofovir,D0576,Entecavir,Affected excretion pathways
D0402,Cyclosporine,D0576,Entecavir,Affected excretion pathways
D0800,Indomethacin,D0576,Entecavir,Affected excretion pathways
D1009,Mesalazine,D0576,Entecavir,Affected excretion pathways
D1217,Pamidronic acid,D0576,Entecavir,Affected excretion pathways
D1727,Zoledronic acid,D0576,Entecavir,Affected excretion pathways
D0576,Entecavir,D0056,Amikacin,Affected excretion pathways
D0576,Entecavir,D0057,Amikacin (liposome),Affected excretion pathways
D0576,Entecavir,D0075,Amphotericin B,Affected excretion pathways
D0576,Entecavir,D0076,Amphotericin B (cholesteryl sulfate),Affected excretion pathways
D0576,Entecavir,D0077,Amphotericin B (lipid complex),Affected excretion pathways
D0576,Entecavir,D0078,Amphotericin B (liposomal),Affected excretion pathways
D0576,Entecavir,D0142,Bacitracin,Affected excretion pathways
D0576,Entecavir,D0145,Balsalazide,Affected excretion pathways
D0576,Entecavir,D0210,Bromfenac,Affected excretion pathways
D0576,Entecavir,D0298,Celecoxib,Affected excretion pathways
D0576,Entecavir,D0344,Cisplatin,Affected excretion pathways
D0576,Entecavir,D0383,Colistimethate,Affected excretion pathways
D0576,Entecavir,D0432,Deferasirox,Affected excretion pathways
D0576,Entecavir,D0476,Diclofenac,Affected excretion pathways
D0576,Entecavir,D0489,Diflunisal,Affected excretion pathways
D0576,Entecavir,D0623,Etidronic acid,Affected excretion pathways
D0576,Entecavir,D0624,Etodolac,Affected excretion pathways
D0576,Entecavir,D0645,Fenoprofen,Affected excretion pathways
D0576,Entecavir,D0680,Flurbiprofen,Affected excretion pathways
D0576,Entecavir,D0694,Foscarnet,Affected excretion pathways
D0576,Entecavir,D0709,Gallium nitrate,Affected excretion pathways
D0576,Entecavir,D0718,Gentamicin,Affected excretion pathways
D0576,Entecavir,D0724,Givosiran,Affected excretion pathways
D0576,Entecavir,D0786,Ibuprofen,Affected excretion pathways
D0576,Entecavir,D0805,Inotersen,Affected excretion pathways
D0576,Entecavir,D0829,Iobenguane (I-131),Affected excretion pathways
D0576,Entecavir,D0876,Kanamycin,Affected excretion pathways
D0576,Entecavir,D0881,Ketoprofen,Affected excretion pathways
D0576,Entecavir,D0882,Ketorolac,Affected excretion pathways
D0576,Entecavir,D0940,Lithium carbonate,Affected excretion pathways
D0576,Entecavir,D0964,Lutetium Lu 177 dotatate,Affected excretion pathways
D0576,Entecavir,D0988,Meclofenamic acid,Affected excretion pathways
D0576,Entecavir,D0991,Mefenamic acid,Affected excretion pathways
D0576,Entecavir,D0995,Meloxicam,Affected excretion pathways
D0576,Entecavir,D1025,Methotrexate,Affected excretion pathways
D0576,Entecavir,D1030,Methoxyflurane,Affected excretion pathways
D0576,Entecavir,D1091,Moxetumomab Pasudotox,Affected excretion pathways
D0576,Entecavir,D1097,Nabumetone,Affected excretion pathways
D0576,Entecavir,D1109,Naproxen,Affected excretion pathways
D0576,Entecavir,D1120,Neomycin,Affected excretion pathways
D0576,Entecavir,D1126,Netilmicin,Affected excretion pathways
D0576,Entecavir,D1173,Olsalazine,Affected excretion pathways
D0576,Entecavir,D1196,Oxaprozin,Affected excretion pathways
D0576,Entecavir,D1274,Phenylbutazone,Affected excretion pathways
D0576,Entecavir,D1300,Piroxicam,Affected excretion pathways
D0576,Entecavir,D1304,Plazomicin,Affected excretion pathways
D0576,Entecavir,D1310,Polymyxin B,Affected excretion pathways
D0576,Entecavir,D1421,Rofecoxib,Affected excretion pathways
D0576,Entecavir,D1442,Salsalate,Affected excretion pathways
D0576,Entecavir,D1476,Sirolimus,Affected excretion pathways
D0576,Entecavir,D1507,Streptomycin,Affected excretion pathways
D0576,Entecavir,D1517,Sulfasalazine,Affected excretion pathways
D0576,Entecavir,D1520,Sulindac,Affected excretion pathways
D0576,Entecavir,D1526,Tacrolimus,Affected excretion pathways
D0576,Entecavir,D1542,Telavancin,Affected excretion pathways
D0576,Entecavir,D1549,Temsirolimus,Affected excretion pathways
D0576,Entecavir,D1597,Tobramycin,Affected excretion pathways
D0576,Entecavir,D1606,Tolmetin,Affected excretion pathways
D0576,Entecavir,D1674,Valdecoxib,Affected excretion pathways
D0576,Entecavir,D1680,Vancomycin,Affected excretion pathways
D0056,Amikacin,D1543,Telbivudine,Affected excretion pathways
D0057,Amikacin (liposome),D1543,Telbivudine,Affected excretion pathways
D0075,Amphotericin B,D1543,Telbivudine,Affected excretion pathways
D0076,Amphotericin B (cholesteryl sulfate),D1543,Telbivudine,Affected excretion pathways
D0077,Amphotericin B (lipid complex),D1543,Telbivudine,Affected excretion pathways
D0078,Amphotericin B (liposomal),D1543,Telbivudine,Affected excretion pathways
D0142,Bacitracin,D1543,Telbivudine,Affected excretion pathways
D0145,Balsalazide,D1543,Telbivudine,Affected excretion pathways
D0210,Bromfenac,D1543,Telbivudine,Affected excretion pathways
D0217,Bumetanide,D1543,Telbivudine,Affected excretion pathways
D0252,Capreomycin,D1543,Telbivudine,Affected excretion pathways
D0298,Celecoxib,D1543,Telbivudine,Affected excretion pathways
D0335,Cidofovir,D1543,Telbivudine,Affected excretion pathways
D0344,Cisplatin,D1543,Telbivudine,Affected excretion pathways
D0383,Colistimethate,D1543,Telbivudine,Affected excretion pathways
D0402,Cyclosporine,D1543,Telbivudine,Affected excretion pathways
D0476,Diclofenac,D1543,Telbivudine,Affected excretion pathways
D0489,Diflunisal,D1543,Telbivudine,Affected excretion pathways
D0613,Etacrynic acid,D1543,Telbivudine,Affected excretion pathways
D0624,Etodolac,D1543,Telbivudine,Affected excretion pathways
D0645,Fenoprofen,D1543,Telbivudine,Affected excretion pathways
D0680,Flurbiprofen,D1543,Telbivudine,Affected excretion pathways
D0694,Foscarnet,D1543,Telbivudine,Affected excretion pathways
D0704,Furosemide,D1543,Telbivudine,Affected excretion pathways
D0718,Gentamicin,D1543,Telbivudine,Affected excretion pathways
D0783,Ibandronate,D1543,Telbivudine,Affected excretion pathways
D0786,Ibuprofen,D1543,Telbivudine,Affected excretion pathways
D0800,Indomethacin,D1543,Telbivudine,Affected excretion pathways
D0876,Kanamycin,D1543,Telbivudine,Affected excretion pathways
D0881,Ketoprofen,D1543,Telbivudine,Affected excretion pathways
D0882,Ketorolac,D1543,Telbivudine,Affected excretion pathways
D0988,Meclofenamic acid,D1543,Telbivudine,Affected excretion pathways
D0991,Mefenamic acid,D1543,Telbivudine,Affected excretion pathways
D0995,Meloxicam,D1543,Telbivudine,Affected excretion pathways
D1009,Mesalazine,D1543,Telbivudine,Affected excretion pathways
D1025,Methotrexate,D1543,Telbivudine,Affected excretion pathways
D1030,Methoxyflurane,D1543,Telbivudine,Affected excretion pathways
D1097,Nabumetone,D1543,Telbivudine,Affected excretion pathways
D1109,Naproxen,D1543,Telbivudine,Affected excretion pathways
D1120,Neomycin,D1543,Telbivudine,Affected excretion pathways
D1126,Netilmicin,D1543,Telbivudine,Affected excretion pathways
D1173,Olsalazine,D1543,Telbivudine,Affected excretion pathways
D1196,Oxaprozin,D1543,Telbivudine,Affected excretion pathways
D1217,Pamidronic acid,D1543,Telbivudine,Affected excretion pathways
D1246,Pentamidine,D1543,Telbivudine,Affected excretion pathways
D1274,Phenylbutazone,D1543,Telbivudine,Affected excretion pathways
D1300,Piroxicam,D1543,Telbivudine,Affected excretion pathways
D1310,Polymyxin B,D1543,Telbivudine,Affected excretion pathways
D1421,Rofecoxib,D1543,Telbivudine,Affected excretion pathways
D1476,Sirolimus,D1543,Telbivudine,Affected excretion pathways
D1507,Streptomycin,D1543,Telbivudine,Affected excretion pathways
D1517,Sulfasalazine,D1543,Telbivudine,Affected excretion pathways
D1520,Sulindac,D1543,Telbivudine,Affected excretion pathways
D1526,Tacrolimus,D1543,Telbivudine,Affected excretion pathways
D1597,Tobramycin,D1543,Telbivudine,Affected excretion pathways
D1606,Tolmetin,D1543,Telbivudine,Affected excretion pathways
D1611,Torasemide,D1543,Telbivudine,Affected excretion pathways
D1674,Valdecoxib,D1543,Telbivudine,Affected excretion pathways
D1680,Vancomycin,D1543,Telbivudine,Affected excretion pathways
D1543,Telbivudine,D0432,Deferasirox,Affected excretion pathways
D1543,Telbivudine,D0709,Gallium nitrate,Affected excretion pathways
D1543,Telbivudine,D0724,Givosiran,Affected excretion pathways
D1543,Telbivudine,D0805,Inotersen,Affected excretion pathways
D1543,Telbivudine,D0829,Iobenguane (I-131),Affected excretion pathways
D1543,Telbivudine,D0940,Lithium carbonate,Affected excretion pathways
D1543,Telbivudine,D0964,Lutetium Lu 177 dotatate,Affected excretion pathways
D1543,Telbivudine,D1091,Moxetumomab Pasudotox,Affected excretion pathways
D1543,Telbivudine,D1304,Plazomicin,Affected excretion pathways
D1543,Telbivudine,D1442,Salsalate,Affected excretion pathways
D1543,Telbivudine,D1542,Telavancin,Affected excretion pathways
D1543,Telbivudine,D1549,Temsirolimus,Affected excretion pathways
D0056,Amikacin,D0668,Flucytosine,Affected excretion pathways
D0057,Amikacin (liposome),D0668,Flucytosine,Affected excretion pathways
D0142,Bacitracin,D0668,Flucytosine,Affected excretion pathways
D0145,Balsalazide,D0668,Flucytosine,Affected excretion pathways
D0210,Bromfenac,D0668,Flucytosine,Affected excretion pathways
D0252,Capreomycin,D0668,Flucytosine,Affected excretion pathways
D0298,Celecoxib,D0668,Flucytosine,Affected excretion pathways
D0335,Cidofovir,D0668,Flucytosine,Affected excretion pathways
D0344,Cisplatin,D0668,Flucytosine,Affected excretion pathways
D0402,Cyclosporine,D0668,Flucytosine,Affected excretion pathways
D0476,Diclofenac,D0668,Flucytosine,Affected excretion pathways
D0489,Diflunisal,D0668,Flucytosine,Affected excretion pathways
D0623,Etidronic acid,D0668,Flucytosine,Affected excretion pathways
D0624,Etodolac,D0668,Flucytosine,Affected excretion pathways
D0645,Fenoprofen,D0668,Flucytosine,Affected excretion pathways
D0680,Flurbiprofen,D0668,Flucytosine,Affected excretion pathways
D0694,Foscarnet,D0668,Flucytosine,Affected excretion pathways
D0718,Gentamicin,D0668,Flucytosine,Affected excretion pathways
D0783,Ibandronate,D0668,Flucytosine,Affected excretion pathways
D0786,Ibuprofen,D0668,Flucytosine,Affected excretion pathways
D0800,Indomethacin,D0668,Flucytosine,Affected excretion pathways
D0881,Ketoprofen,D0668,Flucytosine,Affected excretion pathways
D0882,Ketorolac,D0668,Flucytosine,Affected excretion pathways
D0988,Meclofenamic acid,D0668,Flucytosine,Affected excretion pathways
D0991,Mefenamic acid,D0668,Flucytosine,Affected excretion pathways
D0995,Meloxicam,D0668,Flucytosine,Affected excretion pathways
D1009,Mesalazine,D0668,Flucytosine,Affected excretion pathways
D1025,Methotrexate,D0668,Flucytosine,Affected excretion pathways
D1030,Methoxyflurane,D0668,Flucytosine,Affected excretion pathways
D1097,Nabumetone,D0668,Flucytosine,Affected excretion pathways
D1109,Naproxen,D0668,Flucytosine,Affected excretion pathways
D1120,Neomycin,D0668,Flucytosine,Affected excretion pathways
D1126,Netilmicin,D0668,Flucytosine,Affected excretion pathways
D1193,Oxaliplatin,D0668,Flucytosine,Affected excretion pathways
D1196,Oxaprozin,D0668,Flucytosine,Affected excretion pathways
D1217,Pamidronic acid,D0668,Flucytosine,Affected excretion pathways
D1246,Pentamidine,D0668,Flucytosine,Affected excretion pathways
D1274,Phenylbutazone,D0668,Flucytosine,Affected excretion pathways
D1300,Piroxicam,D0668,Flucytosine,Affected excretion pathways
D1310,Polymyxin B,D0668,Flucytosine,Affected excretion pathways
D1421,Rofecoxib,D0668,Flucytosine,Affected excretion pathways
D1476,Sirolimus,D0668,Flucytosine,Affected excretion pathways
D1507,Streptomycin,D0668,Flucytosine,Affected excretion pathways
D1517,Sulfasalazine,D0668,Flucytosine,Affected excretion pathways
D1520,Sulindac,D0668,Flucytosine,Affected excretion pathways
D1526,Tacrolimus,D0668,Flucytosine,Affected excretion pathways
D1597,Tobramycin,D0668,Flucytosine,Affected excretion pathways
D1606,Tolmetin,D0668,Flucytosine,Affected excretion pathways
D1674,Valdecoxib,D0668,Flucytosine,Affected excretion pathways
D1680,Vancomycin,D0668,Flucytosine,Affected excretion pathways
D1727,Zoledronic acid,D0668,Flucytosine,Affected excretion pathways
D0668,Flucytosine,D0383,Colistimethate,Affected excretion pathways
D0668,Flucytosine,D0432,Deferasirox,Affected excretion pathways
D0668,Flucytosine,D0709,Gallium nitrate,Affected excretion pathways
D0668,Flucytosine,D0724,Givosiran,Affected excretion pathways
D0668,Flucytosine,D0805,Inotersen,Affected excretion pathways
D0668,Flucytosine,D0829,Iobenguane (I-131),Affected excretion pathways
D0668,Flucytosine,D0876,Kanamycin,Affected excretion pathways
D0668,Flucytosine,D0940,Lithium carbonate,Affected excretion pathways
D0668,Flucytosine,D0964,Lutetium Lu 177 dotatate,Affected excretion pathways
D0668,Flucytosine,D1091,Moxetumomab Pasudotox,Affected excretion pathways
D0668,Flucytosine,D1173,Olsalazine,Affected excretion pathways
D0668,Flucytosine,D1304,Plazomicin,Affected excretion pathways
