A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0009,Acarbose,D0029,Albiglutide,Affected gastrointestinal absorption
D0491,Digoxin,D0029,Albiglutide,Affected gastrointestinal absorption
D1473,Simvastatin,D0029,Albiglutide,Affected gastrointestinal absorption
D1711,Warfarin,D0029,Albiglutide,Affected gastrointestinal absorption
D0160,Benzatropine,D0011,Acetaminophen,Affected gastrointestinal absorption
D1656,Trospium,D0011,Acetaminophen,Affected gastrointestinal absorption
D0011,Acetaminophen,D0154,Belladonna,Affected gastrointestinal absorption
D0011,Acetaminophen,D0183,Biperiden,Affected gastrointestinal absorption
D0011,Acetaminophen,D0353,Clidinium,Affected gastrointestinal absorption
D0011,Acetaminophen,D0662,Flavoxate,Affected gastrointestinal absorption
D0011,Acetaminophen,D0733,Glycopyrronium,Affected gastrointestinal absorption
D0011,Acetaminophen,D0782,Hyoscyamine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1000,Mepenzolate,Affected gastrointestinal absorption
D0011,Acetaminophen,D1031,Methscopolamine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1347,Procyclidine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1354,Propantheline,Affected gastrointestinal absorption
D0011,Acetaminophen,D1491,Solifenacin,Affected gastrointestinal absorption
D0011,Acetaminophen,D1202,Oxybutynin,Affected gastrointestinal absorption
D0011,Acetaminophen,D0123,Atropine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1450,Scopolamine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1607,Tolterodine,Affected gastrointestinal absorption
D0011,Acetaminophen,D1641,Trihexyphenidyl,Affected gastrointestinal absorption
D0011,Acetaminophen,D0482,Dicyclomine,Affected gastrointestinal absorption
D0011,Acetaminophen,D0424,Darifenacin,Affected gastrointestinal absorption
D1106,Naltrexone,D0198,Bremelanotide,Affected gastrointestinal absorption
D0342,Cisapride,D0473,Diazepam,Affected gastrointestinal absorption
D1720,Zidovudine,D0349,Clarithromycin,Affected gastrointestinal absorption
D0087,Anisindione,D0941,Lixisenatide,Affected gastrointestinal absorption
