A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0402,Cyclosporine,D0540,Dupilumab,Affected intra/extra-hepatic metabolism
D1711,Warfarin,D0540,Dupilumab,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0045,Alprazolam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0064,Aminophylline,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0066,Amiodarone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0069,Amlodipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0096,Apixaban,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0120,Atorvastatin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0161,Benzhydrocodone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0219,Buprenorphine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0255,Carbamazepine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0356,Clobazam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0362,Clonazepam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0450,Desogestrel,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0473,Diazepam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0481,Dicoumarol,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0485,Dienogest,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0508,Disopyramide,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0536,Drospirenone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0619,Ethinylestradiol,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0620,Ethosuximide,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0626,Etonogestrel,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0640,Felodipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0646,Fentanyl,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0664,Flecainide,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0697,Fosphenytoin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0772,Hydrocodone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0865,Isradipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0911,Levamlodipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0922,Levonorgestrel,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0927,Lidocaine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0956,Lovastatin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D0990,Medroxyprogesterone acetate,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1003,Mephenytoin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1011,Mestranol,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1017,Methadone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1040,Methylphenobarbital,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1054,Mexiletine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1060,Midazolam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1130,Nicardipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1134,Nifedipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1138,Nimodipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1141,Nisoldipine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1154,Norethisterone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1156,Norgestimate,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1157,Norgestrel,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1169,Oliceridine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1201,Oxtriphylline,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1203,Oxycodone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1265,Phenobarbital,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1283,Phenytoin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1340,Primidone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1343,Procainamide,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1353,Propafenone,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1371,Quinidine,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1417,Rivaroxaban,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1473,Simvastatin,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1512,Sufentanil,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1570,Theophylline,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1632,Triazolam,Affected intra/extra-hepatic metabolism
D0023,Adalimumab,D1711,Warfarin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0045,Alprazolam,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0064,Aminophylline,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0066,Amiodarone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0069,Amlodipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0120,Atorvastatin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0161,Benzhydrocodone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0219,Buprenorphine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0356,Clobazam,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0362,Clonazepam,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0450,Desogestrel,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0481,Dicoumarol,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0485,Dienogest,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0508,Disopyramide,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0536,Drospirenone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0619,Ethinylestradiol,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0620,Ethosuximide,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0626,Etonogestrel,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0640,Felodipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0646,Fentanyl,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0664,Flecainide,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0697,Fosphenytoin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0865,Isradipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0911,Levamlodipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0922,Levonorgestrel,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0927,Lidocaine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0956,Lovastatin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D0990,Medroxyprogesterone acetate,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1003,Mephenytoin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1011,Mestranol,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1017,Methadone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1040,Methylphenobarbital,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1054,Mexiletine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1060,Midazolam,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1130,Nicardipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1134,Nifedipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1138,Nimodipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1141,Nisoldipine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1154,Norethisterone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1156,Norgestimate,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1157,Norgestrel,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1169,Oliceridine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1201,Oxtriphylline,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1203,Oxycodone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1265,Phenobarbital,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1283,Phenytoin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1340,Primidone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1343,Procainamide,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1353,Propafenone,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1371,Quinidine,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1417,Rivaroxaban,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1473,Simvastatin,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1512,Sufentanil,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1570,Theophylline,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1632,Triazolam,Affected intra/extra-hepatic metabolism
D0032,Alefacept,D1711,Warfarin,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0045,Alprazolam,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0064,Aminophylline,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0069,Amlodipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0096,Apixaban,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0120,Atorvastatin,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0161,Benzhydrocodone,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0219,Buprenorphine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0255,Carbamazepine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0356,Clobazam,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0362,Clonazepam,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0473,Diazepam,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0481,Dicoumarol,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0485,Dienogest,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0508,Disopyramide,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0536,Drospirenone,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0619,Ethinylestradiol,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0620,Ethosuximide,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0626,Etonogestrel,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0640,Felodipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0646,Fentanyl,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0664,Flecainide,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0697,Fosphenytoin,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0772,Hydrocodone,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0865,Isradipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0911,Levamlodipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0922,Levonorgestrel,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0927,Lidocaine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0956,Lovastatin,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D0990,Medroxyprogesterone acetate,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1003,Mephenytoin,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1011,Mestranol,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1017,Methadone,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1040,Methylphenobarbital,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1054,Mexiletine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1060,Midazolam,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1130,Nicardipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1134,Nifedipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1138,Nimodipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1141,Nisoldipine,Affected intra/extra-hepatic metabolism
D0085,Anakinra,D1154,Norethisterone,Affected intra/extra-hepatic metabolism
