A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name
D0001,Abacavir,D0113,Asparaginase Erwinia chrysanthemi
D0001,Abacavir,D0199,Brentuximab vedotin
D0001,Abacavir,D0232,Calaspargase pegol
D0001,Abacavir,D0248,Cannabidiol
D0001,Abacavir,D0311,Chloral hydrate
D0001,Abacavir,D0375,Cobicistat
D0001,Abacavir,D0789,Idelalisib
D0001,Abacavir,D0900,Leflunomide
D0001,Abacavir,D0944,Lomitapide
D0001,Abacavir,D1073,Mipomersen
D0001,Abacavir,D1187,Orlistat
D0001,Abacavir,D1239,Peginterferon beta-1a
D0001,Abacavir,D1258,Pexidartinib
D0001,Abacavir,D1389,Remdesivir
D0001,Abacavir,D1408,Riociguat
D0001,Abacavir,D1556,Teriflunomide
D0001,Abacavir,D1615,Trabectedin
D0002,Abametapir (topical),D0044,Alpelisib
D0002,Abametapir (topical),D0129,Avapritinib
D0002,Abametapir (topical),D0204,Brigatinib
D0002,Abametapir (topical),D0518,Doravirine
D0002,Abametapir (topical),D0589,Eravacycline
D0002,Abametapir (topical),D0638,Fedratinib
D0002,Abametapir (topical),D0683,Fluticasone
D0002,Abametapir (topical),D0720,Gilteritinib
D0002,Abametapir (topical),D0725,Glasdegib
D0002,Abametapir (topical),D0901,Lemborexant
D0002,Abametapir (topical),D1169,Oliceridine
D0002,Abametapir (topical),D1242,Pemigatinib
D0002,Abametapir (topical),D1258,Pexidartinib
D0002,Abametapir (topical),D1306,Polatuzumab vedotin
D0002,Abametapir (topical),D1324,Pralsetinib
D0002,Abametapir (topical),D1407,Rimegepant
D0002,Abametapir (topical),D1409,Ripretinib
D0002,Abametapir (topical),D1432,Rucaparib
D0002,Abametapir (topical),D1459,Selpercatinib
D0002,Abametapir (topical),D1474,Siponimod
D0002,Abametapir (topical),D1538,Tazemetostat
D0002,Abametapir (topical),D1653,Troleandomycin
D0002,Abametapir (topical),D1663,Ubrogepant
D0002,Abametapir (topical),D1666,Upadacitinib
D0002,Abametapir (topical),D1709,Voxelotor
D0002,Abametapir (topical),D1718,Zanubrutinib
D0003,Abarelix,D0025,Adenosine
D0003,Abarelix,D0036,Alfuzosin
D0003,Abarelix,D0066,Amiodarone
D0003,Abarelix,D0067,Amisulpride
D0003,Abarelix,D0068,Amitriptyline
D0003,Abarelix,D0072,Amoxapine
D0003,Abarelix,D0084,Anagrelide
D0003,Abarelix,D0097,Apomorphine
D0003,Abarelix,D0103,Arformoterol
D0003,Abarelix,D0105,Aripiprazole
D0003,Abarelix,D0107,Arsenic trioxide
D0003,Abarelix,D0112,Asenapine
D0003,Abarelix,D0119,Atomoxetine
D0003,Abarelix,D0139,Azithromycin
D0003,Abarelix,D0149,Bedaquiline
D0003,Abarelix,D0184,Bisacodyl
D0003,Abarelix,D0195,Bosutinib
D0003,Abarelix,D0219,Buprenorphine
D0003,Abarelix,D0230,Cabozantinib
D0003,Abarelix,D0269,Castor oil
D0003,Abarelix,D0302,Ceritinib
D0003,Abarelix,D0320,Chloroquine
D0003,Abarelix,D0324,Chlorpromazine
D0003,Abarelix,D0336,Cilostazol
D0003,Abarelix,D0341,Ciprofloxacin
D0003,Abarelix,D0345,Citalopram
