A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D0123,Atropine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0733,Glycopyrronium,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0987,Meclizine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0987,Meclizine,D1263,Phenelzine,Pharmacodynamic additive effects
D0987,Meclizine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0123,Atropine,D1263,Phenelzine,Pharmacodynamic additive effects
D0123,Atropine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0482,Dicyclomine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0782,Hyoscyamine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0782,Hyoscyamine,D1263,Phenelzine,Pharmacodynamic additive effects
D0782,Hyoscyamine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1354,Propantheline,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1450,Scopolamine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1450,Scopolamine,D1263,Phenelzine,Pharmacodynamic additive effects
D1450,Scopolamine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0498,Dimenhydrinate,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0154,Belladonna,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1491,Solifenacin,Pharmacodynamic additive effects
D1263,Phenelzine,D0154,Belladonna,Pharmacodynamic additive effects
D1263,Phenelzine,D0482,Dicyclomine,Pharmacodynamic additive effects
D1263,Phenelzine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D1263,Phenelzine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D1263,Phenelzine,D1354,Propantheline,Pharmacodynamic additive effects
D1263,Phenelzine,D1491,Solifenacin,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0154,Belladonna,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0482,Dicyclomine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0733,Glycopyrronium,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1354,Propantheline,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1491,Solifenacin,Pharmacodynamic additive effects
D0795,Imipramine,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0160,Benzatropine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D0160,Benzatropine,D1263,Phenelzine,Pharmacodynamic additive effects
D0160,Benzatropine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D0183,Biperiden,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1347,Procyclidine,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1347,Procyclidine,D1263,Phenelzine,Pharmacodynamic additive effects
D1347,Procyclidine,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D0853,Isocarboxazid,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D1263,Phenelzine,Pharmacodynamic additive effects
D1641,Trihexyphenidyl,D1620,Tranylcypromine,Pharmacodynamic additive effects
D1263,Phenelzine,D0183,Biperiden,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0183,Biperiden,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0037,Alimemazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0068,Amitriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0072,Amoxapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0135,Azatadine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0160,Benzatropine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0183,Biperiden,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0214,Brompheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0259,Carbinoxamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0316,Chlorcyclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0323,Chlorpheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0324,Chlorpromazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0351,Clemastine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0353,Clidinium,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0361,Clomipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0370,Clozapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0397,Cyclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0403,Cyproheptadine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0424,Darifenacin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0446,Desipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0456,Dexbrompheniramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0482,Dicyclomine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0498,Dimenhydrinate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0502,Diphenhydramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0508,Disopyramide,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0525,Doxepin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0526,Doxepin (topical),Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0532,Doxylamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0655,Fesoterodine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0662,Flavoxate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0678,Fluphenazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0733,Glycopyrronium,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0781,Hydroxyzine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0782,Hyoscyamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0795,Imipramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0957,Loxapine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0979,Maprotiline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D0987,Meclizine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1000,Mepenzolate,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1006,Mepyramine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1010,Mesoridazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1019,Methdilazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1026,Methotrimeprazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1031,Methscopolamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1084,Molindone,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1158,Nortriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1202,Oxybutynin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1257,Perphenazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1264,Phenindamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1282,Phenyltoloxamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1292,Pimozide,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1346,Prochlorperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1347,Procyclidine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1351,Promazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1352,Promethazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1354,Propantheline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1355,Propiomazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1361,Protriptyline,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1450,Scopolamine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1491,Solifenacin,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1572,Thiethylperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1574,Thioridazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1576,Thiothixene,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1607,Tolterodine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1637,Trifluoperazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1638,Triflupromazine,Pharmacodynamic additive effects
D0197,Botulinum Toxin Type B,D1641,Trihexyphenidyl,Pharmacodynamic additive effects
