A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D1218,Pancrelipase,D0009,Acarbose,Pharmacodynamic antagonistic effects
D1218,Pancrelipase,D1064,Miglitol,Pharmacodynamic antagonistic effects
D0387,Conjugated estrogens,D0087,Anisindione,Pharmacodynamic antagonistic effects
D0387,Conjugated estrogens,D1711,Warfarin,Pharmacodynamic antagonistic effects
D0388,Conjugated estrogens (topical),D0087,Anisindione,Pharmacodynamic antagonistic effects
D0388,Conjugated estrogens (topical),D1711,Warfarin,Pharmacodynamic antagonistic effects
D0487,Diethylstilbestrol,D1711,Warfarin,Pharmacodynamic antagonistic effects
D0607,Estradiol (topical),D0087,Anisindione,Pharmacodynamic antagonistic effects
D0609,Estrone,D1711,Warfarin,Pharmacodynamic antagonistic effects
D0619,Ethinylestradiol,D0087,Anisindione,Pharmacodynamic antagonistic effects
D0087,Anisindione,D0605,Esterified estrogens,Pharmacodynamic antagonistic effects
D0087,Anisindione,D0608,Estramustine,Pharmacodynamic antagonistic effects
D0087,Anisindione,D0610,Estrone sulfate,Pharmacodynamic antagonistic effects
D0087,Anisindione,D0611,Estrone sulfate (topical),Pharmacodynamic antagonistic effects
D0087,Anisindione,D1011,Mestranol,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0387,Conjugated estrogens,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0388,Conjugated estrogens (topical),Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0605,Esterified estrogens,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0606,Estradiol,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0607,Estradiol (topical),Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0608,Estramustine,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0610,Estrone sulfate,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0611,Estrone sulfate (topical),Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D0619,Ethinylestradiol,Pharmacodynamic antagonistic effects
D0481,Dicoumarol,D1011,Mestranol,Pharmacodynamic antagonistic effects
D1711,Warfarin,D0484,Dienestrol (topical),Pharmacodynamic antagonistic effects
D1711,Warfarin,D0605,Esterified estrogens,Pharmacodynamic antagonistic effects
D1711,Warfarin,D0608,Estramustine,Pharmacodynamic antagonistic effects
D1711,Warfarin,D0610,Estrone sulfate,Pharmacodynamic antagonistic effects
D1711,Warfarin,D0611,Estrone sulfate (topical),Pharmacodynamic antagonistic effects
